entry_id	meaning_id	arabic	meaning	sort_order	source_volume	source_chapter	source_row
a1c34073-2f4c-4ac8-818c-2f0ba630afc2	1fd72a84-20ef-4e55-8e23-bc5b1d08a132	قَوْم	people	100			100
b9248c79-f132-41cb-9fbf-422c65faf6dc	d08be9d8-d8aa-4b72-b99a-9739d2ce1ca2	أَيُّهَا	o; oh	101			101
0dd47567-bb14-4cf1-ac7f-aff4e7fe40c6	4a53682e-9255-43ad-bffd-0a9376769533	اَنْ	that	102			102
2cfaf4b7-c0d0-4011-924b-cde59afcc7d2	0740a3e8-882c-4fc9-968f-0ccce6914178	اَنَّ	that	103			103
015dc2e8-8368-46f1-838a-183306fccfa3	354d0db3-1cbd-489a-9233-79a0d51a19a3	مُحَمَّد	Muhammad	104			104
040a41f8-c913-4bf0-bd12-f590d8d51b2d	228ce9dc-4d1a-492c-91ce-fff56609c652	رَسُوْل	messenger	105			105
6737d08f-ed6c-4a0b-9645-9f1f155103a6	76942599-07e3-4dbd-8c27-b93c7f01014c	اَلصَّلٰوة	the prayer	106			106
7b0f210e-93a7-4882-8413-cadf5ec265fd	38dd1a9c-e80a-47f0-bd6b-40652cb4bdd3	شَرِيْك	partner	107			107
914351c6-28f7-4931-a549-7a1eba29f682	cc14250d-ea87-4610-b50b-3904ff707363	مَاذَا	what	108			108
af9c0881-8d66-47aa-95a9-e66898375aa3	486132d1-aebc-4a9c-8074-10d7a9070d6b	سُبْحَٰنَ	glory	109			109
3285bcf3-6ab7-4ad6-927d-3b65efb8cb20	33bff985-da3a-4585-a5ea-ebd1ce0c3b09	ٱلْعَظِيم	the great	110			110
9049dc51-3bf9-43bc-9447-01c29c361738	96501bf3-8722-40bc-828e-29d3d3196304	طَيِّبَات	good things	111			111
9ae23b64-1187-4ed0-8d66-cbca56806c44	d9e2b588-5679-44a8-a0da-eb764d12d8b5	سَلَٰم	peace	112			112
de5c8cbe-388a-450b-83b1-9b73e3b79616	fd243207-323d-4b31-9600-47cb499b1c96	ٱلنَّبِىّ	the prophet	113			113
d77296ce-30ad-4720-85f4-49d53a6a45a5	ef3b485b-4ad8-41bf-8a37-b6054bf1cf67	رَحْمَة	mercy	114			114
a4c0392c-df8a-40b2-b2ba-201babcf5e14	90c5bbc6-1f21-4c0e-a72b-965672df1667	عِبَاد	slaves; servants	115			115
ec69f0ef-a5d6-4c7f-a0b0-611668ec3077	a7229fea-3cc8-4a5f-b118-db5932cd6c44	سَوْفَ	soon	116			116
6a7a554a-b7c4-4daa-b465-a77bf31ae8d8	314b71fd-d6f6-4573-8482-33708c95b09f	إِبْرَٰهِيم	Ibrahim	117			117
d3666c35-548c-434e-ab96-ef3f798e9b86	4c43ad81-4a7b-419a-aa41-5ba41eef9946	نَفْس	soul	118			118
c0cea9f7-6602-4bd7-b4b8-7c8f4aa11354	e280d34f-d135-45a8-9e99-90894b72af28	كَثِير	much	119			119
399a5693-94ff-4b5a-b0bc-3dbcf6960612	19947de2-de82-48cf-80ab-45e881a73456	اَلذُّنُوْب	the sins	120			120
5b4572ca-2b65-47b5-8867-3f615bf507f6	c39545b3-3d61-4396-a73f-92391f02f985	غَفُور	oft-forgiving	121			121
608ee855-b6c1-49da-b2ef-fc7b4617790b	2ef32d7f-ee49-420b-8a24-1f566f7401d6	ٱلدُّنْيَا	the world	122			122
ce51762b-4540-4278-a4cf-1f447b9f8d2f	e4803521-86e5-47d8-ac04-f56457fcd167	اَلْاٰخِرَة	the hereafter	123			123
fb8a018c-9780-44eb-9059-cb068970954a	ad6373b7-5adb-4f50-9c14-98c45aae6e1e	عَذَاب	punishment	124			124
faea428b-2bda-4788-a448-45bf445ce584	340b7d6c-8459-4bf7-9235-d2d174777f3f	ٱلنَّار	the fire	125			125
